KODE,%CHG,CHG,CLOSE,PREV,HIGH,LOW,HIGH DATE,LOW DATE
DCII,17,6175,43000,36825,59050,32850,2023-11-24,2023-09-19
JTPE,17,44,308,264,378,200,2023-10-30,2023-07-27
BBNI,17,762,5375,4612,5425,4212,2023-10-12,2023-01-11
LIFE,16,850,6025,5175,6500,5175,2023-02-06,2023-01-02
MKTR,16,21,150,129,330,111,2023-03-14,2023-08-11
BBRI,16,785,5725,4940,5750,4360,2023-07-27,2023-01-11
BBSI,16,500,3660,3160,3710,2610,2023-12-11,2023-01-16
DOID,16,48,352,304,570,264,2023-10-11,2023-01-12
DILD,16,27,198,171,292,153,2023-07-06,2023-01-05
SMMA,16,1950,14500,12550,15400,10975,2023-10-03,2023-06-09
ALDO,16,125,930,805,935,580,2023-12-27,2023-06-20
ITIC,15,38,300,262,346,236,2023-03-10,2023-01-12
BFIN,14,150,1205,1055,1535,955,2023-06-13,2023-10-26
PEVE,14,21,170,149,270,135,2023-01-25,2023-08-18
MEDC,14,140,1155,1015,1705,840,2023-09-18,2023-05-23
DNET,14,560,4700,4140,4770,3800,2023-12-22,2023-02-16
DEWA,13,7,60,53,93,50,2023-11-01,2023-03-03
GGRM,13,2325,20325,18000,30050,16500,2023-05-10,2023-01-05
ARKO,13,80,705,625,865,468,2023-09-25,2023-01-25
ANJT,12,80,745,665,1025,625,2023-07-12,2023-01-10
PAMG,12,8,75,67,120,50,2023-07-03,2023-03-03
MITI,12,20,190,170,635,149,2023-09-29,2023-03-17
SKRN,12,52,498,446,835,436,2023-07-14,2023-01-09
DUTI,12,480,4620,4140,4950,3940,2023-05-29,2023-01-11
ARTA,11,300,3000,2700,3000,1415,2023-12-29,2023-06-26
MYTX,11,6,60,54,92,50,2023-03-31,2023-02-01
AMRT,11,280,2930,2650,3150,2530,2023-02-01,2023-06-16
MICE,10,55,590,535,945,490,2023-03-29,2023-11-03
JIHD,10,36,388,352,498,302,2023-07-20,2023-04-03
AYAM,10,10,110,100,182,92,2023-12-01,2023-12-01
BBCA,10,850,9400,8550,9450,8000,2023-08-11,2023-01-11
NRCA,10,30,332,302,378,290,2023-09-22,2023-01-10
PGJO,9,7,83,76,110,62,2023-06-22,2023-03-30
DKFT,9,9,112,103,141,76,2023-11-24,2023-05-09
ERAA,9,34,426,392,580,326,2023-02-16,2023-11-09
ULTJ,8,125,1600,1475,2130,1350,2023-07-24,2023-04-06
PSDN,8,7,90,83,187,50,2023-11-22,2023-03-16
PTPW,8,75,975,900,1100,855,2023-06-13,2023-01-06
SOTS,8,26,340,314,510,82,2023-11-21,2023-11-03
BBLD,8,50,660,610,1100,466,2023-07-17,2023-04-10
MYOH,8,130,1720,1590,2130,1360,2023-11-17,2023-08-21
MDKI,8,15,200,185,228,180,2023-08-01,2023-01-13
KMTR,8,20,278,258,308,226,2023-07-31,2023-03-24
KBLI,8,24,338,314,360,284,2023-12-07,2023-01-16
POWR,8,50,710,660,810,645,2023-08-14,2023-01-06
UVCR,7,9,131,122,191,64,2023-09-20,2023-05-29
KBLM,7,18,262,244,396,228,2023-02-16,2023-01-06
SMDM,7,13,194,181,226,150,2023-02-02,2023-01-13
BRMS,7,11,170,159,226,114,2023-09-26,2023-05-26
HMSP,7,55,895,840,1235,780,2023-03-29,2023-01-06
ADMR,1595,1595,1695,100,3140,135,2022-04-20,2022-01-03
BYAN,678,18300,21000,2700,24800,2580,2022-12-28,2022-01-04
PANI,678,827,950,122,2010,111,2022-09-02,2022-01-26
RAJA,474,863,1045,182,1230,161,2022-09-15,2022-01-27
RMKE,323,718,940,222,1215,218,2022-09-09,2022-01-03
KRYA,308,385,510,125,625,86,2022-12-28,2022-08-04
EURO,306,214,284,70,340,69,2022-12-29,2022-08-08
LUCY,253,139,194,55,260,51,2022-08-29,2022-01-05
SINI,229,769,1105,336,1385,188,2022-12-07,2022-11-07
SMMT,222,448,650,202,1365,193,2022-04-26,2022-01-04
SULI,218,109,159,50,228,50,2022-11-30,2022-01-03
BIPI,216,108,158,50,234,50,2022-08-01,2022-01-03
CBUT,216,1490,2180,690,2250,690,2022-12-30,2022-11-08
KONI,207,2050,3040,990,4310,925,2022-01-27,2022-01-04
ZONE,197,816,1230,414,1860,402,2022-06-24,2022-01-19
SHID,195,1520,2300,780,2870,780,2022-12-14,2022-01-03
BMSR,194,508,770,262,1215,191,2022-06-13,2022-04-22
ETWA,189,117,179,62,282,62,2022-10-18,2022-01-03
ENRG,188,192,294,102,404,96,2022-11-08,2022-01-12
RISE,188,718,1100,382,1145,282,2022-11-29,2022-03-21
MRAT,177,489,765,276,950,172,2022-11-28,2022-05-10
TAYS,162,288,466,178,825,167,2022-12-20,2022-01-03
PICO,161,153,248,95,585,67,2022-11-14,2022-02-07
PADA,154,154,254,100,310,94,2022-12-30,2022-12-13
GTBO,149,112,187,75,187,75,2022-12-30,2022-01-03
PANR,148,300,504,203,533,186,2022-12-28,2022-05-13
LION,147,503,845,342,880,300,2022-12-30,2022-05-20
SKRN,146,265,446,181,480,141,2022-11-16,2022-02-11
SDPC,144,196,332,136,396,107,2022-12-27,2022-03-09
BUMI,140,94,161,67,246,50,2022-09-06,2022-03-02
LPGI,139,3400,5850,2450,6200,2450,2022-07-13,2022-01-03
SMKM,135,356,620,264,650,120,2022-12-28,2022-07-20
ABMM,131,1860,3280,1420,4900,1325,2022-09-19,2022-01-28
BUAH,129,502,890,388,1050,388,2022-12-07,2022-08-09
NZIA,125,197,354,157,388,122,2022-12-30,2022-05-11
NICL,125,86,155,69,167,61,2022-12-26,2022-01-26
GLVA,122,355,645,290,650,236,2022-12-22,2022-04-18
SUPR,120,18525,34000,15475,70975,15600,2022-02-23,2022-01-03
ERTX,120,256,470,214,505,172,2022-12-29,2022-05-19
AMRT,118,1435,2650,1215,3090,1020,2022-11-30,2022-01-25
ADES,118,3885,7175,3290,8400,3220,2022-09-06,2022-01-26
MEDC,118,549,1015,466,1225,458,2022-11-08,2022-01-03
ENAK,115,975,1825,850,2330,635,2022-10-17,2022-02-23
INDX,113,141,266,125,570,125,2022-03-29,2022-01-03
MBAP,112,4025,7625,3600,11050,3490,2022-09-15,2022-01-25
SRAJ,111,345,655,310,750,93,2022-12-06,2022-09-23
ARKO,108,325,625,300,835,262,2022-09-22,2022-07-11
PNLF,108,186,358,172,775,166,2022-10-24,2022-03-08
DEWI,108,108,208,100,280,114,2022-10-14,2022-07-18
PGUN,107,417,805,388,945,348,2022-12-29,2022-01-31
CAKK,106,104,202,98,338,79,2022-10-21,2022-03-15
MAPI,104,735,1445,710,1530,700,2022-11-29,2022-01-03
FILM,102,965,1910,945,3100,720,2022-08-11,2022-01-12
PNBN,100,770,1540,770,2790,730,2022-10-24,2022-04-04
PTRO,100,2160,4330,2170,4640,2100,2022-12-23,2022-01-03
LTLS,94,675,1390,715,1645,640,2022-09-08,2022-01-28
MSIN,94,2340,4820,2480,6475,1835,2022-02-21,2022-01-12
SMDR,94,187,386,199,816,178,2022-06-07,2022-01-26
MMIX,92,174,364,190,386,210,2022-12-30,2022-12-09
ITMG,91,18625,39025,20400,45650,19325,2022-10-27,2022-01-03
MCOL,89,3275,6975,3700,7900,3350,2022-10-27,2022-01-06
ESTA,88,90,192,102,595,70,2022-06-20,2022-01-19
HATM,86,138,298,160,505,149,2022-08-16,2022-07-26
FIMP,85,35,76,41,93,39,2022-12-13,2022-01-05
IATA,85,55,120,65,308,56,2022-04-12,2022-01-13
ASBI,84,246,540,294,650,278,2022-09-01,2022-01-26
PNIN,83,565,1245,680,2210,660,2022-10-26,2022-02-08
IBFN,80,43,97,54,97,51,2022-02-09,2022-01-24
BSML,78,152,346,194,2150,181,2022-04-28,2022-01-03
MPRO,78,660,1510,850,1755,595,2022-11-02,2022-10-24
INDY,77,1185,2730,1545,3420,1460,2022-10-05,2022-01-03
STAA,74,445,1045,600,1450,600,2022-08-24,2022-03-10
ESSA,73,385,915,530,1610,430,2022-04-08,2022-01-17
ADRO,71,1600,3850,2250,4250,2110,2022-10-06,2022-02-11
AKRA,70,578,1400,822,1580,685,2022-11-03,2022-02-14
WINS,70,134,326,192,444,136,2022-11-07,2022-05-13
AXIO,69,96,236,140,350,160,2022-09-19,2022-07-20
CARS,68,34,84,50,140,50,2022-09-16,2022-01-03
CSAP,66,323,811,488,966,456,2022-09-08,2022-03-11
BBLD,65,240,610,370,715,366,2022-09-08,2022-01-04
BPII,64,212,542,330,575,332,2022-09-29,2022-01-03
RIGS,63,195,505,310,1040,300,2022-06-24,2022-01-24
BISI,61,605,1600,995,1960,970,2022-05-27,2022-01-25
MINA,60,30,80,50,94,50,2022-12-06,2022-01-03
MKPI,56,14075,39000,24925,46200,16950,2022-12-29,2022-12-22
BNBR,56,28,78,50,98,50,2022-10-25,2022-01-03
SSMS,52,505,1470,965,1605,940,2022-12-14,2022-01-28
RELI,52,231,675,444,945,390,2022-10-19,2022-04-26
MFIN,52,565,1655,1090,1800,1025,2022-09-02,2022-02-24
INCO,52,2420,7100,4680,8800,4240,2022-04-20,2022-01-11
MAPA,52,131,385,254,426,213,2022-11-30,2022-01-26
KKGI,51,131,386,255,753,249,2022-08-11,2022-01-03
GDST,51,51,151,100,266,87,2022-10-27,2022-05-09
PANS,51,645,1920,1275,2190,1235,2022-10-28,2022-01-20
BSBK,49,49,149,100,372,130,2022-12-01,2022-11-09
PSSI,48,193,595,402,865,380,2022-06-07,2022-01-26
KOBX,48,114,352,238,685,230,2022-06-07,2022-01-06
YULE,48,720,2230,1510,2550,1520,2022-06-20,2022-01-03
OBMD,48,60,186,126,515,89,2022-09-29,2022-05-09
WIIM,47,202,630,428,905,360,2022-10-20,2022-01-27
CRAB,47,70,220,150,316,184,2022-08-19,2022-10-19
COAL,46,46,146,100,635,135,2022-09-22,2022-09-07
KEEN,46,204,650,446,910,410,2022-09-19,2022-05-20
DEFI,46,455,1455,1000,1610,1050,2022-01-05,2022-01-03
HEAL,45,480,1550,1070,1680,1010,2022-07-11,2022-02-09
TMAS,42,57,194,137,336,116,2022-06-02,2022-01-10
MORA,41,164,560,396,765,494,2022-08-10,2022-08-08
BMRI,41,1450,4962,3512,5500,3462,2022-12-05,2022-01-05
MIKA,41,930,3190,2260,3400,2080,2022-12-07,2022-01-18
TPIA,40,739,2570,1831,2781,1794,2022-04-12,2022-01-06
BAPA,40,27,95,68,222,66,2022-08-05,2022-01-04
RDTX,38,2575,9275,6700,10000,6700,2022-11-09,2022-05-20
IMPC,38,88,320,232,384,231,2022-08-11,2022-01-03
BRMS,37,43,159,116,304,99,2022-06-16,2022-01-17
BBNI,37,1237,4612,3375,4975,3350,2022-12-01,2022-01-03
PTBA,36,980,3690,2710,4630,2600,2022-06-02,2022-01-03
APLI,36,74,280,206,300,170,2022-12-30,2022-07-19
CASA,36,190,720,530,915,510,2022-08-19,2022-01-07
INDR,35,1470,5650,4180,13625,3990,2022-06-15,2022-01-28
WAPO,35,65,250,185,308,91,2022-12-13,2022-07-04
MIDI,34,72,281,209,463,181,2022-12-02,2022-03-09
AMAN,34,180,705,525,730,498,2022-10-24,2022-07-07
FAPA,34,1090,4300,3210,4560,3170,2022-08-04,2022-01-28
MICE,33,133,535,402,600,336,2022-08-09,2022-02-24
KMDS,32,141,575,434,775,388,2022-07-27,2022-03-18
AHAP,33,19,77,58,165,42,2022-09-06,2022-07-04
ENZO,32,16,66,50,79,50,2022-04-06,2022-01-03
PSKT,32,16,66,50,130,50,2022-02-17,2022-01-03
PKPK,32,62,258,196,424,159,2022-09-14,2022-05-13
DYAN,31,23,98,75,107,66,2022-11-08,2022-03-04
BBSS,30,15,65,50,110,50,2022-11-25,2022-01-03
TEBE,30,195,850,655,1135,560,2022-05-31,2022-01-18
KLBF,29,475,2090,1615,2170,1520,2022-12-12,2022-02-25
MERK,29,1060,4750,3690,5675,3650,2022-09-01,2022-01-03
PJAA,29,160,720,560,810,460,2022-09-26,2022-03-07
OMRE,28,179,810,631,1367,357,2022-12-13,2022-07-14
AGII,28,425,1940,1515,2680,1365,2022-07-27,2022-01-21
PGAS,28,385,1760,1375,1995,1260,2022-10-31,2022-01-19
SFAN,28,410,1880,1470,2030,1455,2022-12-14,2022-01-03
PTIS,28,104,480,376,496,150,2022-12-30,2022-04-22
HAIS,27,47,218,171,362,142,2022-06-03,2022-01-24
BCAP,27,17,79,62,352,50,2022-03-24,2022-01-18
SOSS,27,102,482,380,660,240,2022-10-31,2022-07-28
TRST,27,155,735,580,750,535,2022-06-24,2022-01-31
AUTO,26,305,1460,1155,1590,1010,2022-12-02,2022-01-31
GULA,26,66,316,250,324,177,2022-12-30,2022-09-23
BUDI,26,47,226,179,290,158,2022-05-27,2022-01-27
APLN,26,32,154,122,177,105,2022-11-23,2022-05-17
PORT,26,170,820,650,1600,510,2022-11-10,2022-07-04
DNET,26,850,4140,3290,4200,3100,2022-12-28,2022-04-18
GPSO,25,33,163,130,193,90,2022-12-20,2022-05-18
BOSS,25,18,89,71,147,50,2022-03-23,2022-06-14
CMRY,25,850,4250,3400,5350,3000,2022-11-01,2022-01-25
VTNY,25,90,450,360,505,342,2022-12-29,2022-12-15
AMFG,25,1110,5550,4440,8475,4200,2022-06-06,2022-01-27
ARNA,24,195,995,800,1120,790,2022-05-31,2022-01-03
PTPW,24,175,900,725,1170,695,2022-09-13,2022-01-10
BNGA,23,220,1185,965,1235,940,2022-12-02,2022-01-25
TOTO,23,50,270,220,340,200,2022-06-10,2022-03-23
MYOR,23,460,2500,2040,2600,1485,2022-11-29,2022-03-07
DUTI,22,750,4140,3390,5950,3240,2022-06-22,2022-01-20
OKAS,22,19,105,86,234,50,2022-09-15,2022-03-07
LEAD,21,12,68,56,131,50,2022-11-14,2022-01-13
INCI,21,113,642,529,760,482,2022-06-03,2022-04-25
TRIN,21,52,300,248,705,234,2022-02-22,2022-01-14
KKES,21,22,127,105,210,104,2022-09-19,2022-08-08
KEJU,21,245,1430,1185,1750,1110,2022-08-18,2022-03-14
ASPI,20,15,89,74,121,56,2022-09-20,2022-03-07
BBRI,20,830,4940,4110,5025,3960,2022-12-01,2022-07-04
CITA,20,650,3870,3220,4800,2610,2022-12-27,2022-02-22
CFIN,20,50,300,250,466,224,2022-10-25,2022-05-13
DSNG,20,100,600,500,770,466,2022-03-04,2022-07-15
TPMA,19,74,462,388,550,300,2022-11-28,2022-01-27
MLIA,19,83,525,442,714,345,2022-06-17,2022-01-26
BEST,19,21,133,112,187,100,2022-09-12,2022-03-08
ARII,18,46,296,250,600,173,2022-09-20,2022-07-19
CLEO,18,85,555,470,775,412,2022-10-24,2022-03-08
TCID,18,475,3150,2675,3400,2350,2022-11-29,2022-03-17
UNTR,18,3925,26075,22150,36200,21450,2022-09-15,2022-01-06
MAPB,18,285,1895,1610,2200,1400,2022-09-30,2022-03-17
BIKE,18,30,200,170,324,155,2022-03-23,2022-04-20
SILO,18,188,1260,1072,1320,897,2022-12-30,2022-03-18
UNSP,17,19,128,109,180,105,2022-09-09,2022-01-20
GZCO,17,12,81,69,248,60,2022-04-18,2022-01-27
BBCA,17,1250,8550,7300,9400,7000,2022-11-30,2022-07-04
ADMF,17,1300,9000,7700,9850,7525,2022-11-21,2022-01-19
BDMN,16,380,2730,2350,3880,2270,2022-10-25,2022-03-09
SOTS,15,42,314,272,382,222,2022-12-23,2022-04-05
SQMI,15,9,68,59,108,50,2022-03-07,2022-01-10
ASGR,15,125,950,825,1050,760,2022-04-19,2022-01-28
DOID,15,40,304,264,645,230,2022-04-14,2022-01-18
ZATA,15,15,115,100,358,114,2022-11-16,2022-12-13
ICBP,15,1300,10000,8700,10450,7050,2022-12-16,2022-04-18
MLBI,15,1150,8950,7800,11600,7425,2022-05-31,2022-01-18
DRMA,15,75,585,510,855,500,2022-08-04,2022-04-13
HEXA,15,675,5275,4600,7650,4520,2022-09-21,2022-01-04
ABDA,15,850,6700,5850,9275,5275,2022-01-10,2022-09-20
LPPF,14,600,4750,4150,6550,3520,2022-03-22,2022-01-25
UNVR,14,590,4700,4110,5475,3280,2022-10-24,2022-03-15
CSRA,14,70,570,500,910,490,2022-06-03,2022-01-03
GPRA,14,12,99,87,133,71,2022-12-05,2022-01-26
SMAR,14,590,4950,4360,5975,4200,2022-11-08,2022-07-14
ELSA,13,36,312,276,400,250,2022-11-04,2022-01-18
SMSM,13,175,1535,1360,1605,1200,2022-11-17,2022-08-29
ARTA,12,300,2700,2400,3000,1680,2022-12-30,2022-03-08
KBLI,12,34,314,280,364,264,2022-05-31,2022-01-31
INKP,12,900,8725,7825,10400,7125,2022-11-08,2022-05-10
JSPT,11,85,840,755,885,710,2022-09-07,2022-05-24
NISP,11,75,745,670,810,615,2022-09-20,2022-01-25
RAFI,11,14,140,126,298,134,2022-08-16,2022-11-16
MDLN,11,8,82,74,140,63,2022-06-13,2022-05-19
IPCC,11,55,570,515,675,470,2022-06-02,2022-01-31
UANG,10,85,895,810,1100,424,2022-12-20,2022-11-01
TRIS,10,22,236,214,330,146,2022-12-26,2022-07-18
SGER,10,16,171,155,492,129,2022-05-20,2022-01-11
NETV,10,20,216,196,830,204,2022-02-15,2022-10-24
MBSS,10,105,1195,1090,1550,755,2022-03-31,2022-02-24
DILD,10,15,171,156,226,138,2022-08-16,2022-04-25
CMNP,10,190,2190,2000,2310,1530,2022-04-19,2022-01-06
MTMH,9,120,1400,1280,2770,1345,2022-07-28,2022-12-29
VINS,9,15,178,163,202,126,2022-03-14,2022-11-02
INTA,9,6,74,68,88,56,2022-04-04,2022-05-24
TUGU,9,70,867,797,1745,642,2022-09-15,2022-07-11
RUIS,9,18,224,206,296,160,2022-09-23,2022-05-13
ITMA,9,65,815,750,1325,484,2022-09-15,2022-02-24
MDKA,9,325,4120,3795,5800,3350,2022-04-19,2022-07-15
AKPI,8,90,1220,1130,1900,895,2022-06-13,2022-04-21
KBLM,8,18,244,226,340,194,2022-06-13,2022-04-26
TRGU,8,16,226,210,630,206,2022-07-14,2022-12-20
MKTR,8,9,129,120,176,112,2022-12-26,2022-11-08
IFII,7,11,158,147,180,141,2022-09-30,2022-05-12
POWR,7,45,660,615,750,600,2022-06-10,2022-03-25
MEDS,7,9,134,125,520,130,2022-08-23,2022-12-30
AMAG,7,24,360,336,468,334,2022-07-07,2022-01-06
ELPI,7,14,214,200,370,191,2022-08-10,2022-10-14
DCII,10370,43555,43975,420,60300,525,2021-06-16,2021-01-06
BBHI,4398,3870,3958,88,4629,77,2021-11-19,2021-01-05
BEBS,4252,1148,1175,27,1240,27,2021-12-30,2021-03-10
TFAS,2747,4945,5125,180,8225,170,2021-08-16,2021-01-04
BANK,2123,2187,2290,103,3980,139,2021-08-09,2021-02-01
UFOE,1509,1524,1625,101,1860,136,2021-12-21,2021-02-01
PANI,1425,114,122,8,212,7,2021-11-22,2021-03-15
MSIN,1285,2301,2480,179,2490,142,2021-12-29,2021-05-18
DMMX,1053,2484,2720,236,3460,197,2021-08-23,2021-01-15
BBYB,894,2208,2456,247,2708,240,2021-12-20,2021-01-04
TMAS,879,123,137,14,155,11,2021-12-24,2021-02-01
BNBA,876,2908,3240,332,4870,330,2021-12-10,2021-01-04
ARTA,838,2144,2400,256,2490,236,2021-12-30,2021-02-01
PEGE,760,1034,1170,136,1955,112,2021-08-31,2021-02-01
TECH,750,6000,6800,800,10200,745,2021-12-14,2021-01-04
AYLS,648,324,374,50,406,50,2021-12-15,2021-01-04
ZBRA,586,551,645,94,1093,41,2021-08-25,2021-01-20
CSMI,574,3100,3640,540,3650,540,2021-05-28,2021-01-04
YELO,570,114,135,20,328,20,2021-11-12,2021-01-04
BPTR,520,255,304,49,403,44,2021-12-17,2021-02-15
TNCA,501,2126,2550,424,3030,210,2021-12-23,2021-02-01
SNLK,500,750,900,150,1960,202,2021-12-15,2021-03-29
FITT,500,425,510,85,650,67,2021-12-13,2021-01-15
MASA,490,4880,5875,995,7300,960,2021-09-29,2021-01-07
ASSA,467,2734,3320,586,4000,586,2021-10-08,2021-01-04
BINA,452,3120,3810,690,6175,685,2021-06-30,2021-01-04
IFSH,440,1744,2140,396,2500,352,2021-12-30,2021-01-06
FUJI,439,505,620,115,640,114,2021-12-27,2021-01-29
BBSI,433,3332,4102,770,8070,747,2021-08-06,2021-01-04
MARI,429,386,476,90,605,83,2021-09-06,2021-01-20
MLPL,421,299,370,71,810,57,2021-06-16,2021-01-28
FILM,397,755,945,190,990,182,2021-12-24,2021-01-04
MLPT,394,2800,3510,710,5750,705,2021-06-15,2021-01-04
BIMA,392,196,246,50,288,50,2021-12-30,2021-01-04
