KodeInd;BVRPcount;BVRPmean;BVRPstd;BVRPmin;BVRP25%;BVRP50%;BVRP75%;BVRPmax;PBVcount;PBVmean;PBVstd;PBVmin;PBV25%;PBV50%;PBV75%;PBVmax
A111;6.0;367.0;432.0050925625762;93.0;135.0;204.5;320.5;1229.0;6.0;1.5833333333333333;1.909362895488091;0.5;0.525;0.8;1.375;5.4
A112;12.0;506.9166666666667;635.2036836298807;-1.0;103.0;194.0;699.25;2193.0;12.0;-1.6749999999999992;10.461368326979375;-34.8;0.6499999999999999;1.0;1.9000000000000001;2.6
A121;22.0;3520.1363636363635;7979.020433346287;-119.0;318.75;902.5;2271.0;31932.0;22.0;2.8681818181818177;4.403179193831091;-0.4;0.8;1.4;2.6999999999999997;19.6
A122;16.0;377.4375;542.7076522708459;-558.0;61.0;320.0;545.0;1779.0;16.0;2.8125;5.276725626118278;-0.3;0.6;1.15;2.1;21.5
A131;2.0;481.5;159.0990257669732;369.0;425.25;481.5;537.75;594.0;2.0;0.6;0.14142135623730948;0.5;0.55;0.6;0.6499999999999999;0.7
A132;14.0;743.0;1160.661548759685;-20.0;122.75;209.0;672.0;3496.0;14.0;1.0357142857142856;1.1146625172995313;-0.3;0.325;0.75;1.625;4.2
A211;2.0;95.5;23.33452377915607;79.0;87.25;95.5;103.75;112.0;2.0;0.9;0.2828427124746191;0.7;0.8;0.9;1.0;1.1
A221;1.0;-92.0;NaN;-92.0;-92.0;-92.0;-92.0;-92.0;1.0;-0.8;NaN;-0.8;-0.8;-0.8;-0.8;-0.8
B111;18.0;1183.888888888889;2619.756182837697;30.0;232.25;489.0;647.75;11417.0;18.0;1.5166666666666666;2.4497899069584097;0.3;0.5;0.7;1.2;10.7
B112;2.0;158.5;139.30003589374985;60.0;109.25;158.5;207.75;257.0;2.0;1.9500000000000002;1.6263455967290592;0.8;1.375;1.9500000000000002;2.5250000000000004;3.1
B113;7.0;925.8571428571429;1012.572866278674;163.0;212.5;323.0;1391.0;2788.0;7.0;1.3571428571428572;1.2272695205986648;0.3;0.5;0.8;1.9;3.6
B121;10.0;1156.8;2960.318331230988;-3297.0;27.25;275.0;1115.25;6991.0;10.0;1.0699999999999998;1.8178436554213224;-2.3;0.425;0.95;1.4500000000000002;4.8
B131;16.0;696.375;594.5601034938912;-5.0;250.25;638.0;907.75;1935.0;16.0;0.20625000000000004;3.0950430799371222;-11.0;0.3;0.55;1.1;3.2
B141;5.0;400.4;445.92858172581856;-22.0;115.0;386.0;391.0;1132.0;5.0;0.6599999999999999;1.778482499211055;-2.3;0.5;1.2;1.6;2.3
B142;1.0;2720.0;NaN;2720.0;2720.0;2720.0;2720.0;2720.0;1.0;0.9;NaN;0.9;0.9;0.9;0.9;0.9
B143;4.0;518.0;781.0492942190012;9.0;123.75;190.5;584.75;1682.0;4.0;2.55;2.264950330581225;0.6;1.35;1.9000000000000001;3.1;5.8
B144;9.0;632.7777777777778;596.3957951263947;56.0;134.0;446.0;1059.0;1831.0;9.0;0.8111111111111112;0.5988414741073894;0.3;0.4;0.6;1.0;2.2
B146;10.0;679.1;1194.851404057332;5.0;76.25;207.5;756.5;3921.0;10.0;2.3900000000000006;2.771862590790211;0.6;1.1;1.5;2.275;10.0
B151;4.0;-82.5;357.36489288494283;-615.0;-126.0;79.5;123.0;126.0;4.0;1.25;1.5459624833740306;-0.1;0.275;0.8500000000000001;1.825;3.4
B152;6.0;4983.166666666667;7334.147214684654;16.0;69.25;705.0;9093.5;16726.0;6.0;1.2833333333333334;1.1178849076119897;0.5;0.55;0.7;1.75;3.2
B153;3.0;492.0;472.10062486719926;209.0;219.5;230.0;633.5;1037.0;3.0;2.533333333333333;2.1385353243127256;1.2;1.2999999999999998;1.4;3.2;5.0
C121;12.0;894.5833333333334;2765.1463698997377;-1282.0;52.25;158.0;362.0;9524.0;12.0;1.1583333333333334;2.6548269360932104;-1.7;0.25;0.6;0.8500000000000001;8.9
C131;7.0;4595.857142857143;8647.800788419589;181.0;490.5;930.0;3128.5;23822.0;7.0;0.6428571428571429;0.427617987059879;0.2;0.4;0.5;0.85;1.3
C141;8.0;3002.625;7391.105754070709;-576.0;51.5;152.5;880.5;21116.0;8.0;1.3375000000000001;1.3595561250433381;-0.1;0.6;1.05;1.5499999999999998;4.3
C143;7.0;136.14285714285714;120.87380274681603;36.0;54.5;71.0;184.5;368.0;7.0;3.0285714285714285;4.235451288711467;0.5;0.9;1.0;2.8;12.3
C211;2.0;190.5;143.54267658086914;89.0;139.75;190.5;241.25;292.0;2.0;0.95;0.49497474683058335;0.6;0.775;0.95;1.125;1.3
C221;1.0;165.0;NaN;165.0;165.0;165.0;165.0;165.0;1.0;1.9;NaN;1.9;1.9;1.9;1.9;1.9
C223;5.0;347.8;372.6871342024031;-42.0;203.0;217.0;412.0;949.0;5.0;1.0399999999999998;0.996493853468249;-0.1;0.6;0.6;1.7;2.4
C224;4.0;456.25;581.2867192702754;135.0;150.75;181.5;487.0;1327.0;4.0;1.25;1.5154757228892408;0.2;0.5;0.6499999999999999;1.4;3.5
C231;1.0;350.0;NaN;350.0;350.0;350.0;350.0;350.0;1.0;1.3;NaN;1.3;1.3;1.3;1.3;1.3
C232;1.0;96.0;NaN;96.0;96.0;96.0;96.0;96.0;1.0;1.2;NaN;1.2;1.2;1.2;1.2;1.2
C311;7.0;1889.4285714285713;2332.2772031602403;15.0;382.5;470.0;3036.5;5903.0;7.0;0.942857142857143;1.1457997830586035;0.1;0.2;0.8;0.95;3.4
D111;3.0;955.6666666666666;1462.0291834752593;3.0;114.0;225.0;1432.0;2639.0;3.0;41.56666666666667;70.52349490299905;0.7;0.85;1.0;62.0;123.0
D112;5.0;213.0;232.89589949159688;6.0;57.0;165.0;241.0;596.0;5.0;7.159999999999999;8.338944777368416;0.9;1.3;1.8;12.5;19.3
D113;5.0;184.0;120.97727059245469;21.0;112.0;222.0;228.0;337.0;5.0;4.24;2.105469068877527;2.8;2.9;3.6;4.0;7.9
D211;2.0;857.0;373.3523804664971;593.0;725.0;857.0;989.0;1121.0;2.0;7.55;6.434671708797582;3.0;5.275;7.55;9.825;12.1
D212;3.0;1009.0;1514.81715068189;114.0;134.5;155.0;1456.5;2758.0;3.0;3.1666666666666665;2.8023799409311603;0.3;1.7999999999999998;3.3;4.6;5.9
D221;4.0;465.0;235.33947111920403;159.0;360.75;493.0;597.25;715.0;4.0;3.5000000000000004;1.6431676725154984;2.2;2.65;2.95;3.8000000000000003;5.9
D222;25.0;1228.68;2476.946216614321;20.0;91.0;213.0;630.0;11318.0;25.0;2.552;2.8511868873622905;0.5;0.8;1.8;2.8;12.7
D231;16.0;349.6875;520.0161175386778;36.0;71.75;92.0;265.0;1770.0;16.0;1.0125;0.717286553617172;0.2;0.6;0.8;1.025;2.8
D232;32.0;1132.28125;2488.9004598400347;-2324.0;61.0;231.0;1052.25;11576.0;32.0;2.63125;4.630783219478801;-0.1;0.6749999999999999;1.25;2.125;23.2
D311;4.0;8170.0;15346.170879625532;241.0;361.75;626.5;8434.75;31186.0;4.0;1.75;1.379613472438325;0.6;0.75;1.4;2.4;3.6
D421;10.0;882.2;1389.6544574501647;23.0;121.5;265.0;1078.25;4593.0;10.0;3.17;6.794450349774848;0.3;0.4;0.55;1.0;22.0
E111;8.0;1341.5;1610.8172726024159;353.0;403.5;604.5;1281.5;4736.0;8.0;1.3624999999999998;1.225837905854021;0.3;0.5;0.65;2.25;3.3
E112;4.0;3135.5;3174.97238833138;635.0;1561.25;2061.5;3635.75;7784.0;4.0;1.875;2.4198829172778864;0.5;0.6499999999999999;0.75;1.975;5.5
E211;8.0;184.0;202.82152604832513;27.0;33.75;99.0;270.0;600.0;8.0;0.7;0.3927922024247863;0.3;0.475;0.55;0.8500000000000001;1.5
E212;1.0;148.0;NaN;148.0;148.0;148.0;148.0;148.0;1.0;1.1;NaN;1.1;1.1;1.1;1.1;1.1
E213;3.0;629.6666666666666;585.8646032432181;191.0;297.0;403.0;849.0;1295.0;3.0;0.4333333333333333;0.15275252316519466;0.3;0.35;0.4;0.5;0.6
E321;3.0;90.66666666666667;83.50049900050499;7.0;49.0;91.0;132.5;174.0;3.0;4.333333333333333;3.709896674212549;0.3;2.6999999999999997;5.1;6.35;7.6
E411;6.0;280.5;89.90606208704727;162.0;232.5;269.0;325.75;418.0;6.0;0.9166666666666669;0.7359800721939871;0.2;0.5;0.8500000000000001;0.9;2.3
E412;2.0;160.5;30.405591591021544;139.0;149.75;160.5;171.25;182.0;2.0;0.55;0.07071067811865474;0.5;0.525;0.55;0.575;0.6
E413;14.0;301.2857142857143;3527.1719643269544;-5960.0;-40.25;40.5;192.25;9993.0;14.0;1.5642857142857143;6.078158519569146;-5.2;0.0;0.2;0.775;21.8
E512;31.0;6873.193548387097;36895.52197527441;1.0;58.5;98.0;233.0;205659.0;31.0;4.480645161290322;14.548388670338229;0.0;0.5;1.3;2.55;81.7
E513;3.0;582.6666666666666;555.2497936364617;84.0;283.5;483.0;832.0;1181.0;3.0;1.5333333333333332;0.9451631252505217;0.8;1.0;1.2;1.9;2.6
E514;4.0;430.75;459.61532829095245;51.0;102.75;309.0;637.0;1054.0;4.0;1.8;1.47648230602334;0.9;0.975;1.15;1.975;4.0
E515;9.0;327.0;294.83045975611134;11.0;106.0;227.0;632.0;724.0;9.0;32.37777777777778;87.21765557755174;0.2;0.9;3.2;4.5;264.8
E521;1.0;58.0;NaN;58.0;58.0;58.0;58.0;58.0;1.0;1.0;NaN;1.0;1.0;1.0;1.0;1.0
E522;1.0;156.0;NaN;156.0;156.0;156.0;156.0;156.0;1.0;0.3;NaN;0.3;0.3;0.3;0.3;0.3
E611;2.0;172.5;137.88582233137677;75.0;123.75;172.5;221.25;270.0;2.0;2.75;3.0405591591021546;0.6;1.6750000000000003;2.75;3.825;4.9
E612;6.0;237.33333333333334;568.0477679444456;-150.0;-5.5;45.5;104.0;1382.0;6.0;0.11666666666666659;2.4268635451270564;-4.3;-0.15;0.5;1.2249999999999999;2.9
E613;2.0;575.0;555.7859300126264;182.0;378.5;575.0;771.5;968.0;2.0;0.25;0.07071067811865474;0.2;0.225;0.25;0.275;0.3
E614;3.0;54.333333333333336;109.76945537504197;-13.0;-9.0;-5.0;88.0;181.0;3.0;-2.6;2.6888659319497505;-4.3;-4.15;-4.0;-1.75;0.5
E621;2.0;322.0;214.96046148071045;170.0;246.0;322.0;398.0;474.0;2.0;20.849999999999998;20.57680733252853;6.3;13.575;20.85;28.125;35.4
E711;1.0;-8.0;NaN;-8.0;-8.0;-8.0;-8.0;-8.0;1.0;-0.2;NaN;-0.2;-0.2;-0.2;-0.2;-0.2
E731;3.0;464.6666666666667;446.49113466376167;2.0;250.5;499.0;696.0;893.0;3.0;452.53333333333336;782.1652787827733;0.9;0.95;1.0;678.35;1355.7
E741;3.0;447.6666666666667;263.39577318805505;193.0;312.0;431.0;575.0;719.0;3.0;3.4;1.3892443989449805;2.5;2.6;2.7;3.85;5.0
E742;7.0;6.714285714285714;612.5476074792649;-830.0;-388.0;91.0;313.0;936.0;7.0;0.12857142857142856;1.6398315825253578;-3.0;-0.1;0.3;0.65;2.5
E743;6.0;214.16666666666666;225.51400547785647;25.0;53.5;133.5;302.0;608.0;6.0;1.4000000000000001;0.726636084983398;0.7;0.925;1.1;1.875;2.5
E745;6.0;903.3333333333334;1425.7504222922983;55.0;74.25;166.0;1060.25;3631.0;6.0;2.316666666666667;3.0811794278598366;0.4;0.725;1.25;1.775;8.5
F112;2.0;167.5;180.31222920256963;40.0;103.75;167.5;231.25;295.0;2.0;1.5;0.28284271247461895;1.3;1.4;1.5;1.6;1.7
F121;12.0;529.8333333333334;655.7931815516969;94.0;196.75;306.0;566.25;2501.0;12.0;2.525;1.584656544376845;0.3;1.5750000000000002;1.9;3.8249999999999997;6.0
F211;11.0;27741.090909090908;89089.5855871544;-34.0;339.0;895.0;1678.5;296349.0;11.0;0.43636363636363656;4.544507174000879;-12.7;0.6;1.2;2.4;4.5
G111;46.0;1066.7173913043478;1228.1990186727062;31.0;187.5;586.0;1532.75;5035.0;46.0;1.6152173913043477;1.5225661658754275;0.3;0.6;0.9;2.075;7.4
G211;16.0;1052.3125;2578.8903225676995;-408.0;118.5;423.0;647.75;10576.0;16.0;2.43125;5.319237884008071;0.0;0.7;0.95;2.025;22.2
G311;1.0;144.0;NaN;144.0;144.0;144.0;144.0;144.0;1.0;6.9;NaN;6.9;6.9;6.9;6.9;6.9
G312;5.0;587.0;884.840381085764;16.0;162.0;263.0;339.0;2155.0;5.0;2.6399999999999997;3.53595814454866;0.4;0.8;1.4;1.7;8.9
G412;13.0;1628.5384615384614;2228.0372758470858;40.0;109.0;941.0;2382.0;8096.0;13.0;0.9769230769230769;0.6444039185607193;0.1;0.5;0.8;1.2;2.3
G413;4.0;1186.5;1622.4188731643872;107.0;118.25;548.0;1616.25;3543.0;4.0;1.55;1.5609825965290796;0.3;0.45;1.1;2.2;3.7
G414;1.0;2740.0;NaN;2740.0;2740.0;2740.0;2740.0;2740.0;1.0;0.6;NaN;0.6;0.6;0.6;0.6;0.6
G511;13.0;614.4615384615385;1356.998502540602;-828.0;127.0;156.0;203.0;3992.0;13.0;2.892307692307692;4.170224122366713;-0.2;0.3;0.9;4.1;15.0
G512;5.0;1034.2;1450.48464314518;13.0;289.0;391.0;916.0;3562.0;5.0;1.4600000000000002;1.9994999374843703;0.2;0.4;0.8;0.9;5.0
H111;81.0;768.9629629629629;1787.055381377732;-680.0;104.0;193.0;608.0;11148.0;81.0;0.7753086419753086;2.4601082732370507;-12.6;0.3;0.5;0.9;16.0
H112;1.0;226.0;NaN;226.0;226.0;226.0;226.0;226.0;1.0;0.4;NaN;0.4;0.4;0.4;0.4;0.4
I111;12.0;489.5;599.9259802827194;13.0;115.75;189.0;720.75;1854.0;12.0;1.8416666666666666;2.0070142153472803;0.2;0.375;0.9;2.725;6.6
I121;8.0;285.875;322.7561828554622;-12.0;79.5;134.5;424.75;865.0;8.0;7.375;15.330804656917763;-4.2;0.825;3.4000000000000004;5.199999999999999;44.5
I131;5.0;65.6;18.87591057406238;52.0;52.0;58.0;69.0;97.0;5.0;1.1600000000000001;0.3646916505762094;0.8;0.9;1.0;1.5;1.6
I211;1.0;314.0;NaN;314.0;314.0;314.0;314.0;314.0;1.0;0.8;NaN;0.8;0.8;0.8;0.8;0.8
I221;4.0;220.75;119.22632539278675;94.0;166.75;204.0;258.0;381.0;4.0;1.175;0.741057802513857;0.4;0.7000000000000001;1.1;1.575;2.1
I231;1.0;240.0;NaN;240.0;240.0;240.0;240.0;240.0;1.0;1.9;NaN;1.9;1.9;1.9;1.9;1.9
J111;2.0;129.0;435.57777721091327;-179.0;-25.0;129.0;283.0;437.0;2.0;0.75;1.6263455967290592;-0.4;0.17499999999999993;0.75;1.325;1.9
J112;3.0;2601.0;2534.435045527898;186.0;1281.5;2377.0;3808.5;5240.0;3.0;0.9666666666666668;0.35118845842842467;0.6;0.8;1.0;1.15;1.3
J113;4.0;95.5;658.4246350190734;-852.0;-39.75;283.5;418.75;667.0;4.0;1.05;0.903696114115064;-0.1;0.725;1.1;1.425;2.1
J211;25.0;434.0;600.8666657420763;-94.0;47.0;198.0;474.0;2435.0;25.0;3.708;15.402838482998298;-2.6;0.3;0.5;0.9;77.5
J311;4.0;423.25;820.0306396714699;-279.0;-8.25;185.0;616.5;1602.0;4.0;0.65;0.776745346515403;-0.3;0.375;0.6499999999999999;0.925;1.6
J312;1.0;1509.0;NaN;1509.0;1509.0;1509.0;1509.0;1509.0;1.0;2.6;NaN;2.6;2.6;2.6;2.6;2.6
J321;15.0;1266.6;1746.326667199304;-162.0;119.5;400.0;1732.0;4701.0;15.0;1.9333333333333331;2.1493077512361527;-0.9;1.15;1.4;2.3;8.5
J411;6.0;324.5;334.00643706371886;13.0;138.0;151.0;566.75;793.0;6.0;1.4000000000000001;1.7843766418556368;0.4;0.45;0.8;1.0;5.0
J421;1.0;6.0;NaN;6.0;6.0;6.0;6.0;6.0;1.0;0.5;NaN;0.5;0.5;0.5;0.5;0.5
K111;4.0;-220.25;367.51088419256376;-720.0;-384.75;-110.5;54.0;60.0;4.0;2.475;4.775894331606036;-0.3;-0.225;0.30000000000000004;3.0;9.6
K132;8.0;486.875;743.9004229637958;-78.0;108.0;199.0;550.5;2213.0;8.0;1.2000000000000002;3.5294677866702306;-4.1;0.475;0.9;1.1;8.8
K211;19.0;152.6315789473684;149.58580240350938;-50.0;48.5;121.0;224.5;630.0;19.0;1.9631578947368424;2.9356450221214474;-0.2;0.6;0.9;2.15;13.1
