KodeInd;Asetcount;Asetmean;Asetstd;Asetmin;Aset25%;Aset50%;Aset75%;Asetmax;Utangcount;Utangmean;Utangstd;Utangmin;Utang25%;Utang50%;Utang75%;Utangmax;Modalcount;Modalmean;Modalstd;Modalmin
A111;6.0;27061.833333333332;40148.851935848266;493.0;2446.0;13100.5;26491.0;105828.0;6.0;18102.166666666668;28629.88820387999;59.0;1607.5;7616.5;15999.25;74923.0;6.0;8959.0;11639.748536802674;351.0
A112;12.0;14014.166666666666;29255.36399870919;301.0;1405.25;4516.0;7369.25;103575.0;12.0;7130.333333333333;14248.033442187627;217.0;804.25;2604.0;3589.5;50411.0;12.0;6883.666666666667;15035.0615703509;-46.0
A121;22.0;24903.227272727272;35624.71435465342;19.0;3186.25;13114.0;35322.75;160979.0;22.0;8888.636363636364;11150.80289889671;3.0;804.25;5834.0;10377.0;46211.0;22.0;16014.5;25258.243157527046;-167.0
A122;16.0;1482.1875;1113.454517481518;222.0;602.5;1127.0;2185.75;3451.0;16.0;645.375;698.8118368583443;14.0;139.5;342.0;853.25;2398.0;16.0;837.125;1094.4429861806416;-1327.0
A131;2.0;6670.5;3789.385240378708;3991.0;5330.75;6670.5;8010.25;9350.0;2.0;3981.5;1463.003930274967;2947.0;3464.25;3981.5;4498.75;5016.0;2.0;2689.5;2327.088416884928;1044.0
A132;14.0;4151.928571428572;6587.41161335287;138.0;699.0;1185.0;3351.0;24208.0;14.0;2637.8571428571427;5481.996377754576;9.0;223.75;518.5;844.25;20158.0;14.0;1514.0714285714287;1535.9732802306225;-154.0
A211;2.0;351.0;50.91168824543142;315.0;333.0;351.0;369.0;387.0;2.0;195.5;44.54772721475249;164.0;179.75;195.5;211.25;227.0;2.0;156.0;7.0710678118654755;151.0
A221;1.0;883.0;NaN;883.0;883.0;883.0;883.0;883.0;1.0;1314.0;NaN;1314.0;1314.0;1314.0;1314.0;1314.0;1.0;-431.0;NaN;-431.0
B111;18.0;15046.5;37363.883379620514;120.0;1027.5;2325.0;5459.0;146715.0;18.0;7758.277777777777;21481.807248995752;31.0;152.5;680.5;2597.5;88041.0;18.0;7288.222222222223;16319.066317566218;64.0
B112;2.0;1562.0;1872.4187565819777;238.0;900.0;1562.0;2224.0;2886.0;2.0;805.5;1079.752054871858;42.0;423.75;805.5;1187.25;1569.0;2.0;756.5;792.6667017101198;196.0
B113;7.0;2528.4285714285716;4030.31011450082;182.0;440.5;749.0;2271.0;11345.0;7.0;488.7142857142857;656.4946596090771;29.0;77.5;164.0;729.5;1614.0;7.0;2039.5714285714287;3592.730106624713;152.0
B121;10.0;16600.1;24681.015954462742;46.0;1886.25;6566.5;20656.25;81684.0;10.0;7634.3;10436.116040515797;2.0;902.5;4954.0;8617.25;34484.0;10.0;8966.0;14999.78456882335;-1181.0
B131;16.0;2461.875;3081.7825550591115;98.0;648.25;1735.5;3065.5;12504.0;16.0;1183.25;1934.348107244402;2.0;243.5;544.5;1096.75;7983.0;16.0;1278.6875;1296.4545868765838;-2.0
B141;5.0;1768.4;2050.1417755852885;398.0;567.0;1050.0;1469.0;5358.0;5.0;709.4;343.55756431783016;371.0;468.0;612.0;874.0;1222.0;5.0;1059.2;1923.109253266699;-70.0
B142;1.0;2217.0;NaN;2217.0;2217.0;2217.0;2217.0;2217.0;1.0;1218.0;NaN;1218.0;1218.0;1218.0;1218.0;1218.0;1.0;999.0;NaN;999.0
B143;4.0;24729.75;32472.920722503542;512.0;9354.5;12882.5;28257.75;72642.0;4.0;12098.25;13799.325717222562;367.0;5838.25;7971.5;14231.5;32083.0;4.0;12631.5;18767.374785337808;146.0
B144;9.0;8464.333333333334;14891.512591070123;90.0;357.0;2195.0;7804.0;45267.0;9.0;5222.888888888889;11882.989843095513;1.0;110.0;953.0;3338.0;36637.0;9.0;3241.5555555555557;4584.162058411306;89.0
B146;10.0;11989.0;15879.32404802617;699.0;1329.75;2558.5;16132.75;44334.0;10.0;3113.2;3384.9562216108825;108.0;874.75;1954.0;4608.0;10883.0;10.0;8875.8;13360.730043260693;7.0
B151;4.0;755.25;795.4333724454865;100.0;200.5;537.5;1092.25;1846.0;4.0;556.0;368.2996968050159;19.0;499.0;674.5;731.5;856.0;4.0;199.25;744.8361676682106;-622.0
B152;6.0;36864.666666666664;62167.08936299549;44.0;737.75;4236.0;44088.25;155728.0;6.0;15178.5;25186.44499527474;3.0;544.0;3237.5;16354.5;64220.0;6.0;21686.0;37087.601955370475;41.0
B153;3.0;3934.6666666666665;2311.7042054149865;1474.0;2871.5;4269.0;5165.0;6061.0;3.0;1065.0;1167.352131963616;151.0;407.5;664.0;1522.0;2380.0;3.0;1926.0;1134.9524219102755;810.0
C121;12.0;2582.8333333333335;2457.393735178994;232.0;695.5;1801.0;3355.5;7524.0;12.0;1055.6666666666667;911.9628514496861;81.0;482.5;978.0;1136.0;3391.0;12.0;1527.25;1708.969339849447;-617.0
C131;7.0;2478.285714285714;1488.6674930157858;755.0;1625.0;2159.0;2905.0;5374.0;7.0;795.4285714285714;735.8654444808183;286.0;322.5;476.0;969.0;2223.0;7.0;1683.0;1573.4756644659828;414.0
C141;8.0;21261.25;53334.42108258311;158.0;615.25;2750.0;4303.75;153142.0;8.0;11118.75;25621.207631569592;51.0;450.75;2534.5;4348.75;74376.0;8.0;10142.625;27753.756172749458;-1926.0
C143;7.0;435.57142857142856;308.79381316279483;60.0;210.0;465.0;590.0;924.0;7.0;204.28571428571428;197.60795723326723;6.0;67.0;185.0;270.5;564.0;7.0;231.42857142857142;283.36363983572835;35.0
C211;2.0;241.0;164.04877323527901;125.0;183.0;241.0;299.0;357.0;2.0;101.5;118.08683245815344;18.0;59.75;101.5;143.25;185.0;2.0;139.5;45.96194077712559;107.0
C221;1.0;1913.0;NaN;1913.0;1913.0;1913.0;1913.0;1913.0;1.0;781.0;NaN;781.0;781.0;781.0;781.0;781.0;1.0;1132.0;NaN;1132.0
C223;5.0;351.6;280.8937521555081;101.0;144.0;218.0;556.0;739.0;5.0;185.2;220.65855977051967;10.0;15.0;115.0;245.0;541.0;5.0;166.6;327.24043148730874;-322.0
C224;4.0;1155.25;1082.9858032310487;332.0;350.0;828.5;1633.75;2632.0;4.0;477.5;357.6828203870015;130.0;193.0;469.0;753.5;842.0;4.0;678.0;766.709419097831;119.0
C231;1.0;482.0;NaN;482.0;482.0;482.0;482.0;482.0;1.0;202.0;NaN;202.0;202.0;202.0;202.0;202.0;1.0;280.0;NaN;280.0
C232;1.0;60.0;NaN;60.0;60.0;60.0;60.0;60.0;1.0;18.0;NaN;18.0;18.0;18.0;18.0;18.0;1.0;42.0;NaN;42.0
C311;7.0;88907.28571428571;157638.9155620256;3338.0;16626.0;35164.0;53811.0;442975.0;7.0;42165.142857142855;72008.86056458278;2158.0;8851.5;17739.0;26775.0;204006.0;7.0;46742.57142857143;86001.09391137058;1180.0
D111;3.0;4364.666666666667;5601.362006988419;727.0;1139.5;1552.0;6183.5;10815.0;3.0;1884.6666666666667;1568.1812182695382;721.0;993.0;1265.0;2466.5;3668.0;3.0;2480.3333333333335;4044.7588720878443;6.0
D112;5.0;1659.6;3135.062567158748;103.0;244.0;334.0;352.0;7265.0;5.0;443.4;670.8921671923141;36.0;51.0;169.0;337.0;1624.0;5.0;1216.2;2474.5886930962893;15.0
D113;5.0;10292.6;12936.114671724274;1215.0;3381.0;6463.0;7393.0;33011.0;5.0;6425.8;7222.86783071655;867.0;3109.0;3642.0;5508.0;19003.0;5.0;3867.0;5844.511912897432;273.0
D211;2.0;2226.0;1476.4389591175113;1182.0;1704.0;2226.0;2748.0;3270.0;2.0;1152.0;1227.5373721398464;284.0;718.0;1152.0;1586.0;2020.0;2.0;1074.0;248.90158697766472;898.0
D212;3.0;1609.3333333333333;520.8573061149601;1009.0;1443.5;1878.0;1909.5;1941.0;3.0;496.6666666666667;177.7254436858531;314.0;410.5;507.0;588.0;669.0;3.0;1112.6666666666667;681.2813907140963;340.0
D221;4.0;4039.0;3624.2688458041666;781.0;1000.75;3830.0;6868.25;7715.0;4.0;616.25;569.6129533873565;138.0;139.5;528.5;1005.25;1270.0;4.0;3423.0;3060.837902710084;641.0
D222;25.0;16562.4;43062.11105581487;63.0;583.0;1953.0;5250.0;188808.0;25.0;8029.16;20497.093002586163;12.0;265.0;817.0;3294.0;89430.0;25.0;8533.16;22631.69626261658;32.0
D231;16.0;6497.75;12723.648174429638;71.0;216.0;873.5;5483.0;41939.0;16.0;3079.9375;5709.445606113318;2.0;76.25;469.5;3372.75;20700.0;16.0;3417.75;7652.94096410001;69.0
D232;32.0;8063.8125;9826.301609382259;127.0;1811.0;4402.5;10033.0;39142.0;32.0;3779.65625;4541.420011046531;12.0;708.75;2433.0;4717.75;20481.0;32.0;4284.1875;6361.415334694307;-5810.0
D311;4.0;36453.0;42090.016179612;544.0;2260.75;29297.0;63489.25;86674.0;4.0;13911.0;15374.577652735701;165.0;825.75;13857.5;26942.75;27764.0;4.0;22541.75;28018.60728605189;379.0
D421;10.0;3626.9;6000.630401142125;64.0;207.75;684.0;4009.25;18924.0;10.0;2079.4;4192.530585590415;4.0;111.0;275.5;2352.0;13543.0;10.0;1547.3;2122.1990717178255;60.0
E111;8.0;4623.625;6292.008126811117;337.0;1426.25;2751.5;4141.0;19788.0;8.0;1499.25;1798.9074263484013;21.0;801.25;1069.0;1253.25;5813.0;8.0;3124.0;4553.477979993503;247.0
E112;4.0;8149.0;7480.675459698365;1832.0;3785.0;5974.0;10338.0;18816.0;4.0;3661.0;4880.232781333284;933.0;1032.0;1373.0;4002.0;10965.0;4.0;4488.0;3051.201074986701;767.0
E211;8.0;1171.5;2359.9444908726136;61.0;89.0;323.5;631.75;6955.0;8.0;532.25;1055.870629250708;10.0;41.5;136.0;281.25;3093.0;8.0;639.125;1309.353323209591;45.0
E212;1.0;784.0;NaN;784.0;784.0;784.0;784.0;784.0;1.0;415.0;NaN;415.0;415.0;415.0;415.0;415.0;1.0;370.0;NaN;370.0
E213;3.0;696.6666666666666;519.5231788220169;180.0;435.5;691.0;955.0;1219.0;3.0;336.3333333333333;233.20448823582564;69.0;255.5;442.0;470.0;498.0;3.0;360.3333333333333;363.1657105693396;111.0
E321;3.0;286.3333333333333;59.60145412096364;248.0;252.0;256.0;305.5;355.0;3.0;89.66666666666667;58.243740722358595;25.0;65.5;106.0;122.0;138.0;3.0;196.33333333333334;69.1688754667396;118.0
E411;6.0;3311.6666666666665;4002.353840762542;199.0;1176.0;1403.0;4086.25;10784.0;6.0;1892.5;2098.813355208128;77.0;539.5;1104.0;2587.25;5637.0;6.0;1419.1666666666667;1941.1091073576124;122.0
E412;2.0;496.5;262.33661582020915;311.0;403.75;496.5;589.25;682.0;2.0;335.5;154.8563850798539;226.0;280.75;335.5;390.25;445.0;2.0;160.5;108.18733752154178;84.0
E413;14.0;2898.6428571428573;3914.9991572283766;252.0;523.5;894.0;3706.75;12566.0;14.0;4083.4285714285716;7491.077294552969;117.0;348.25;639.5;3387.25;23990.0;14.0;-1184.642857142857;5949.56540891392;-14875.0
E512;31.0;2313.3225806451615;5832.783185793306;58.0;291.5;818.0;1768.0;32565.0;31.0;726.5806451612904;1349.7699748276507;2.0;48.0;294.0;550.0;6785.0;31.0;1586.5806451612902;4608.122855525111;3.0
E513;3.0;910.6666666666666;712.8213895032425;264.0;528.5;793.0;1234.0;1675.0;3.0;528.0;422.05331416777193;203.0;289.5;376.0;690.5;1005.0;3.0;382.3333333333333;306.47403370160634;60.0
E514;4.0;2164.0;1403.137199278816;771.0;1452.75;1895.0;2606.25;4095.0;4.0;1164.75;1073.5655157775266;53.0;404.75;1098.5;1858.5;2409.0;4.0;999.0;545.8907094526035;435.0
E515;9.0;1381.888888888889;1409.19058722059;65.0;309.0;899.0;2329.0;3776.0;9.0;774.4444444444445;949.2206159675304;44.0;57.0;422.0;1202.0;2871.0;9.0;607.6666666666666;592.757117207377;9.0
E521;1.0;80.0;NaN;80.0;80.0;80.0;80.0;80.0;1.0;18.0;NaN;18.0;18.0;18.0;18.0;18.0;1.0;62.0;NaN;62.0
E522;1.0;1053.0;NaN;1053.0;1053.0;1053.0;1053.0;1053.0;1.0;755.0;NaN;755.0;755.0;755.0;755.0;755.0;1.0;298.0;NaN;298.0
E611;2.0;788.5;1048.63935649965;47.0;417.75;788.5;1159.25;1530.0;2.0;452.5;622.9610742253484;12.0;232.25;452.5;672.75;893.0;2.0;336.0;425.67828227430164;35.0
E612;6.0;8790.0;7964.012179799827;504.0;3270.75;8741.0;10153.0;22683.0;6.0;3888.8333333333335;4117.789087200395;414.0;1868.75;1992.5;4663.25;11553.0;6.0;4901.166666666667;8645.558615073212;-2472.0
E613;2.0;6911.0;5516.847106817444;3010.0;4960.5;6911.0;8861.5;10812.0;2.0;2105.5;1451.690221775982;1079.0;1592.25;2105.5;2618.75;3132.0;2.0;4805.0;4064.4497782602753;1931.0
E614;3.0;231.66666666666666;193.71714775242108;22.0;145.5;269.0;336.5;404.0;3.0;187.0;146.11296999240005;30.0;121.0;212.0;265.5;319.0;3.0;44.666666666666664;129.31099463438264;-50.0
E621;2.0;4253.5;3599.8806230207133;1708.0;2980.75;4253.5;5526.25;6799.0;2.0;566.5;676.701189595526;88.0;327.25;566.5;805.75;1045.0;2.0;3686.0;2923.1794334251877;1619.0
E711;1.0;416.0;NaN;416.0;416.0;416.0;416.0;416.0;1.0;463.0;NaN;463.0;463.0;463.0;463.0;463.0;1.0;-46.0;NaN;-46.0
E731;3.0;3725.6666666666665;2426.9854415165605;964.0;2829.0;4694.0;5106.5;5519.0;3.0;2347.3333333333335;2770.9338377762347;373.0;763.5;1154.0;3334.5;5515.0;3.0;1378.6666666666667;1895.4963290213286;4.0
E741;3.0;11516.0;12086.87085229258;727.0;4985.0;9243.0;16910.5;24578.0;3.0;5581.333333333333;6347.06659279177;352.0;2050.5;3749.0;8196.0;12643.0;3.0;5934.666666666667;5792.584943989456;375.0
E742;7.0;3493.714285714286;7988.1675561271195;8.0;95.5;454.0;1122.5;21558.0;7.0;3451.5714285714284;4909.8757912715355;144.0;379.5;931.0;4273.5;13780.0;7.0;42.285714285714285;4048.9503872108926;-4626.0
E743;6.0;3402.8333333333335;4542.3357170806585;42.0;222.0;1027.0;6020.0;10683.0;6.0;1574.1666666666667;2831.6548812782016;9.0;36.25;319.0;1300.75;7228.0;6.0;1828.6666666666667;2369.915835355059;32.0
E745;6.0;13252.833333333334;23527.301319247534;869.0;1581.75;4083.0;7633.5;60917.0;6.0;9030.833333333334;18348.39347100085;155.0;712.75;2178.5;2820.75;46414.0;6.0;4221.833333333333;5453.817907362389;490.0
F112;2.0;391.5;441.9417382415922;79.0;235.25;391.5;547.75;704.0;2.0;124.0;151.32085117392117;17.0;70.5;124.0;177.5;231.0;2.0;267.0;289.9137802864845;62.0
F121;12.0;4260.083333333333;3296.858434612986;254.0;1643.75;3585.5;5992.25;10749.0;12.0;1328.0;1360.629266185319;50.0;278.0;902.5;1771.0;3762.0;12.0;2932.25;2367.8778041644264;200.0
F211;11.0;6984.818181818182;8964.682981769984;928.0;1550.0;2008.0;7989.0;27182.0;11.0;2429.6363636363635;3200.313493166795;183.0;534.5;1161.0;2681.5;11109.0;11.0;4555.090909090909;6701.72450126899;-105.0
G111;46.0;212200.10869565216;448919.4573271458;3422.0;16712.25;26348.0;191710.5;2006939.0;46.0;168282.84782608695;363330.89739519614;261.0;8771.0;22152.0;143236.75;1540431.0;46.0;33231.02173913043;68770.49264182654;1622.0
G211;16.0;7495.375;10259.12338604035;45.0;465.5;2518.0;7436.0;29650.0;16.0;5000.0625;7383.932578861122;0.0;457.75;1808.0;4312.75;23627.0;16.0;2495.5625;3360.890139407515;-619.0
G311;1.0;394.0;NaN;394.0;394.0;394.0;394.0;394.0;1.0;73.0;NaN;73.0;73.0;73.0;73.0;73.0;1.0;320.0;NaN;320.0
G312;5.0;1362.0;1264.1338932249225;201.0;508.0;768.0;2138.0;3195.0;5.0;569.4;854.4213246402503;22.0;38.0;158.0;587.0;2042.0;5.0;792.6;552.0365024162804;179.0
G412;13.0;6131.846153846154;11249.401227370236;295.0;992.0;1180.0;2855.0;37219.0;13.0;2293.076923076923;3652.822617774244;136.0;679.0;900.0;2016.0;13734.0;13.0;3833.6923076923076;9145.708395969257;159.0
G413;4.0;12904.5;16437.092717387706;333.0;882.0;7911.0;19933.5;35463.0;4.0;3082.5;3363.686321086832;225.0;454.5;2397.5;5025.5;7310.0;4.0;9819.5;14630.69454947372;122.0
G414;1.0;4475.0;NaN;4475.0;4475.0;4475.0;4475.0;4475.0;1.0;3024.0;NaN;3024.0;3024.0;3024.0;3024.0;3024.0;1.0;1419.0;NaN;1419.0
G511;13.0;16962.076923076922;31582.89825063964;11.0;283.0;3519.0;25270.0;113958.0;13.0;12556.153846153846;24521.65947635598;3.0;36.0;1883.0;19064.0;88541.0;13.0;4084.3076923076924;6961.617728476327;-226.0
G512;5.0;14444.0;22004.86391687074;134.0;189.0;1013.0;20167.0;50717.0;5.0;1933.8;3104.4747864977094;0.0;1.0;91.0;2403.0;7174.0;5.0;12510.2;20746.074850438577;43.0
H111;81.0;7386.259259259259;12022.148972602381;41.0;705.0;2224.0;9182.0;71113.0;81.0;3215.358024691358;6020.726524491545;1.0;196.0;605.0;3249.0;30427.0;81.0;4170.938271604939;6502.2278111922515;-403.0
H112;1.0;995.0;NaN;995.0;995.0;995.0;995.0;995.0;1.0;6.0;NaN;6.0;6.0;6.0;6.0;6.0;1.0;989.0;NaN;989.0
I111;12.0;6604.666666666667;13697.459527779285;10.0;241.75;975.5;2163.25;43114.0;12.0;625.0;1132.1461518244494;0.0;43.75;138.5;749.5;4056.0;12.0;5979.5;12691.808421182539;10.0
I121;8.0;1905.5;1801.2724074149046;26.0;272.75;1721.5;3112.0;4842.0;8.0;1240.375;1599.1587911416784;10.0;170.25;596.5;1702.75;4636.0;8.0;665.0;742.3784171739601;-21.0
I131;5.0;26649.8;58916.41707707623;38.0;60.0;80.0;1031.0;132040.0;5.0;3280.6;7131.387508753118;6.0;8.0;12.0;342.0;16035.0;5.0;23369.2;51785.72587306274;30.0
I211;1.0;2437.0;NaN;2437.0;2437.0;2437.0;2437.0;2437.0;1.0;770.0;NaN;770.0;770.0;770.0;770.0;770.0;1.0;1667.0;NaN;1667.0
I221;4.0;2795.75;4482.709104622635;175.0;430.0;753.5;3119.25;9501.0;4.0;1383.5;2301.5647575797934;39.0;179.25;334.0;1538.25;4827.0;4.0;1412.75;2180.8404152222297;137.0
I231;1.0;977.0;NaN;977.0;977.0;977.0;977.0;977.0;1.0;618.0;NaN;618.0;618.0;618.0;618.0;618.0;1.0;359.0;NaN;359.0
J111;2.0;4442.5;3793.6278810658273;1760.0;3101.25;4442.5;5783.75;7125.0;2.0;6513.5;8012.22693762477;848.0;3680.75;6513.5;9346.25;12179.0;2.0;-2070.5;4219.306163340129;-5054.0
J112;3.0;52646.333333333336;62807.41915039443;11104.0;16519.5;21935.0;73417.5;124900.0;3.0;34561.333333333336;45305.53321983236;7802.0;8406.5;9011.0;47941.0;86871.0;3.0;18085.333333333332;17929.386836513215;3302.0
J113;4.0;1309.25;735.1046977585347;215.0;1213.25;1639.5;1735.5;1743.0;4.0;588.5;206.96940192534097;324.0;477.75;622.0;732.75;786.0;4.0;720.75;823.8091910954462;-500.0
J211;25.0;12408.68;25200.433603610873;8.0;210.0;2278.0;7130.0;96539.0;25.0;9570.96;21244.211208546516;3.0;137.0;1101.0;3406.0;84108.0;25.0;2837.48;4325.061985297629;-72.0
J311;4.0;7269.0;7715.522967801124;138.0;918.0;6894.0;13245.0;15150.0;4.0;4518.5;4281.5625263058655;49.0;1260.25;4843.0;8101.25;8339.0;4.0;2751.0;3531.9602678021924;-485.0
J312;1.0;276212.0;NaN;276212.0;276212.0;276212.0;276212.0;276212.0;1.0;126719.0;NaN;126719.0;126719.0;126719.0;126719.0;126719.0;1.0;149493.0;NaN;149493.0
J321;15.0;30630.866666666665;36243.32715306101;43.0;986.5;9680.0;51131.5;112205.0;15.0;21130.266666666666;25499.51724043493;6.0;1633.5;5996.0;31601.0;80194.0;15.0;9500.533333333333;12567.331287717298;-5953.0
J411;6.0;4653.333333333333;8131.655198461545;184.0;262.25;775.5;4177.0;20783.0;6.0;2114.8333333333335;3690.982114108204;62.0;115.5;385.0;1886.0;9445.0;6.0;2538.3333333333335;4442.687054775147;50.0
J421;1.0;14.0;NaN;14.0;14.0;14.0;14.0;14.0;1.0;2.0;NaN;2.0;2.0;2.0;2.0;2.0;1.0;13.0;NaN;13.0
K111;4.0;26154.5;46177.1741772924;193.0;2548.75;4544.5;28150.25;95336.0;4.0;33920.5;57876.054164625515;149.0;1394.0;7626.5;40153.0;120280.0;4.0;-7766.25;12143.698513358002;-24944.0
K132;8.0;2245.75;3161.4082644109276;69.0;248.0;694.5;2861.75;7379.0;8.0;1061.875;1551.412208049722;11.0;102.25;490.0;1133.25;4594.0;8.0;1184.0;1963.01677454444;-48.0
K211;19.0;1655.6315789473683;4257.748455731116;60.0;155.0;296.0;923.0;18765.0;19.0;656.0;1921.0987596801067;5.0;48.5;119.0;234.0;8452.0;19.0;999.5263157894736;2349.2186494998496;-57.0
